lunar_day,lunar_deg,Tidal_phase,Group_Size
0 days,0.0,140.59480634105697,2.4
1 days,12.857142857142856,177.54532705732035,1.2
2 days,25.71428571428571,149.62935114796272,1.5
3 days,38.57142857142857,100.97773062196093,1.0
4 days,51.42857142857142,121.48232524458228,2.3333333333333335
5 days,64.28571428571429,28.35145230757807,5.0
6 days,77.14285714285714,28.192771084337345,3.0
7 days,90.0,277.9270708396388,1.5
8 days,102.85714285714285,241.25346451626564,3.4
9 days,115.71428571428572,155.02053568991326,2.5
10 days,128.57142857142858,282.2432548139981,7.666666666666667
11 days,141.42857142857142,240.1260504226944,10.0
12 days,154.28571428571425,217.7458677534437,4.666666666666667
13 days,167.14285714285714,186.84825543120473,8.0
14 days,180.0,169.23838669799503,4.333333333333333
15 days,192.85714285714286,187.2480627251402,2.0
16 days,205.7142857142857,129.16588941828962,4.0
17 days,218.57142857142856,170.1561781328862,1.0
18 days,231.42857142857144,203.8972162674046,1.0
19 days,244.2857142857143,75.93503415711423,1.3333333333333333
21 days,270.0,242.49762230108539,1.6666666666666667
22 days,282.85714285714283,353.0281690262696,1.0
23 days,295.7142857142857,187.76889485870484,3.5
24 days,308.57142857142856,254.9653857244115,1.8
26 days,334.2857142857143,201.09240729968062,0.5
27 days,347.14285714285717,188.1101404325314,4.4
28 days,360.0,178.96611132704027,3.5
