date,lunar_day,lunar_deg,Tidal_phase,Group_Size
2016-09-24,8 days,102.85714285714285,93.02970293345358,3
2018-02-03,3 days,38.57142857142857,89.56521734366729,1
2018-04-01,1 days,12.857142857142856,218.43243244008474,1
2018-04-29,0 days,0.0,152.23880597910448,1
2018-09-02,7 days,90.0,324.0733197614694,3
2018-09-19,24 days,308.57142857142856,236.47855528481875,1
2018-10-02,8 days,102.85714285714285,307.3003802232966,2
2018-10-04,10 days,128.57142857142858,326.7436490269829,8
2018-10-06,12 days,154.28571428571428,268.35509137902636,2
2018-10-13,19 days,244.2857142857143,42.17391307051041,1
2018-12-01,9 days,115.71428571428572,56.12472159804563,3
2019-01-12,21 days,270.0,73.37579617834395,1
2019-01-20,0 days,0.0,107.2992699854014,9
2019-01-21,1 days,12.857142857142856,119.27710848829149,1
2019-06-14,27 days,347.14285714285717,184.58333332309027,2
2019-09-25,12 days,154.28571428571428,215.56626506720164,6
2019-09-27,14 days,180.0,178.57519788993395,4
2019-09-28,15 days,192.85714285714286,192.8925619671607,3
2019-10-07,24 days,308.57142857142856,283.87665198573234,1
2019-10-19,6 days,77.14285714285714,28.192771084337345,3
2019-12-09,27 days,347.14285714285717,169.5514511783878,2
2020-04-05,27 days,347.14285714285717,174.2534381053903,9
2020-04-06,28 days,360.0,161.99999999189998,1
2020-04-08,1 days,12.857142857142856,222.01591510439394,2
2020-04-10,3 days,38.57142857142857,112.39024390025457,1
2020-04-11,4 days,51.42857142857142,156.8149882169485,5
2020-04-21,14 days,180.0,166.46616541353384,6
2020-05-09,2 days,25.71428571428571,122.28028503837149,0
2020-05-14,7 days,90.0,231.78082191780823,0
2020-05-15,8 days,102.85714285714285,210.09646301279352,1
2020-05-24,17 days,218.57142857142856,204.58149780133905,2
2020-05-25,18 days,231.42857142857144,203.8972162674046,1
2020-05-26,19 days,244.2857142857143,109.05660378113207,0
2020-05-30,23 days,295.7142857142857,250.6930692950495,1
2020-06-02,26 days,334.2857142857143,205.52567237919192,0
2020-06-03,27 days,347.14285714285717,197.91469195161835,0
2020-06-05,0 days,0.0,163.44339622649318,0
2020-06-09,4 days,51.42857142857142,117.14285708688047,0
2020-06-17,12 days,154.28571428571428,195.13636363697728,0
2020-06-20,15 days,192.85714285714286,181.60356348311964,1
2020-06-22,17 days,218.57142857142856,135.73085846443334,0
2020-06-27,22 days,282.85714285714283,353.0281690262696,1
2020-07-02,27 days,347.14285714285717,214.24778760417024,9
2020-07-03,28 days,360.0,185.97345132769794,9
2020-07-05,1 days,12.857142857142856,167.68867925383168,1
2020-07-06,2 days,25.71428571428571,176.97841725755393,3
2020-07-12,8 days,102.85714285714285,301.46699265909695,3
2020-07-16,12 days,154.28571428571428,223.9400428284343,8
2020-08-01,28 days,360.0,202.8507795202008,4
2020-08-07,4 days,51.42857142857142,90.48913042991788,2
2020-08-13,10 days,128.57142857142858,243.57142857857144,8
2020-08-14,11 days,141.42857142857142,240.1260504226944,10
2020-08-15,12 days,154.28571428571428,197.76315789473685,12
2020-08-16,13 days,167.14285714285714,192.24489795918367,12
2020-08-19,16 days,205.7142857142857,127.59493672443523,7
2020-08-22,19 days,244.2857142857143,76.57458561970024,3
2020-08-27,24 days,308.57142857142856,244.12955467454634,5
2020-08-29,26 days,334.2857142857143,196.65914222016931,1
2020-09-02,0 days,0.0,150.46874999999997,1
2020-09-11,9 days,115.71428571428572,253.91634978178087,2
2020-09-14,12 days,154.28571428571428,205.71428571428572,0
2020-09-23,21 days,270.0,313.8202247071746,2
2020-09-26,24 days,308.57142857142856,221.662921354532,1
2020-09-30,28 days,360.0,165.04021446836242,0
2020-10-06,5 days,64.28571428571429,45.82677168464255,6
2020-10-09,8 days,102.85714285714285,305.8163265306123,11
2020-10-11,10 days,128.57142857142858,276.41468683643996,7
2020-10-14,13 days,167.14285714285714,181.4516129032258,4
2020-10-15,14 days,180.0,162.67379679051732,3
2020-10-17,16 days,205.7142857142857,130.73684211214405,1
2020-10-22,21 days,270.0,340.29684601773766,2
2020-10-24,23 days,295.7142857142857,124.8447204223602,6
2020-10-25,24 days,308.57142857142856,288.6792453224279,1
2020-10-31,0 days,0.0,129.52380951428572,1
2020-11-01,1 days,12.857142857142856,160.31250000000003,1
2020-11-05,5 days,64.28571428571429,10.876132930513595,4
2020-11-13,13 days,167.14285714285714,188.9999999946,1
2020-11-15,15 days,192.85714285714286,208.53658538673412,2
2020-11-25,25 days,321.42857142857144,228.11320755849056,1
2020-12-01,1 days,12.857142857142856,123.66748159331661,2
2020-12-05,5 days,64.28571428571429,60.54216866014297,10
2020-12-06,6 days,77.14285714285714,5.916334660058171,5
2020-12-10,10 days,128.57142857142858,243.81270901028847,7
2020-12-11,11 days,141.42857142857142,211.36363631497932,3
2020-12-13,13 days,167.14285714285714,170.79283888294555,3
